,q,GRB,Pre-peak slope,APP_neg,APP_pos,Intermediate slope,APR_neg,APR_pos,Post-break slope,APB_neg,APB_pos,Peak time,P_pos,P_neg,Break time,B_pos,B_neg
0,2.2,050724,0.3414497992496242,0.1439043240405468,0.16478223314432744,-0.23042623037750357,0.10814126883052691,0.11112527135761943,0.0,0.0,0.0,1968.608613076975,126.23531254086856,139.91750963629215,1354905.4124606666,86882.12937255809,96298.9747402973
1,2.2,051227,1.573010821394548,0.13713790264650427,0.13428576872489795,-0.4127907315311322,0.029830674179519512,0.04135887090953294,0.0,0.0,0.0,397.62209192422495,75.8249356571344,67.48289772961112,273665.5325407741,52186.91772396286,46445.46548004192
2,2.4,051227,0.6167428739915739,0.1457419211846308,0.15661540950879138,-0.0809191167613042,0.07447042513956065,0.07510296472829239,0.0,0.0,0.0,2199.547283344795,249.9088089058032,247.98465799187034,277194.16682892706,31494.328215809597,31251.840403213195
3,2.6,051227,0.7518781071762173,0.0,0.0,-0.03598085228762373,0.026768414505066625,0.02676841450506664,0.0,0.0,0.0,3627.115163775541,211.90735808574618,211.90735808574664,178805.83233450353,10446.393298658484,10446.393298658513
4,2.2,061201,2.1622611837019843,0.04489187836342179,0.04300277177384526,-0.632549988990824,0.009979486677036409,0.011481036707649106,0.0,0.0,0.0,304.80375941069497,20.683509494984094,21.697254312775897,209782.8184945369,14235.536092485825,14933.251388129516
5,2.4,061201,1.4558961567862068,0.06445054101129588,0.06995204569566749,-0.4645189602383035,0.016881549630235915,0.01983117463809314,0.0,0.0,0.0,1935.3832333295907,131.33209892292712,137.76897728368772,243903.3463475558,16550.902094487275,17362.09862920179
6,2.6,061201,0.7876748992097278,0.11800246229001266,0.1208440632458243,-0.23912620669787676,0.038771030879198365,0.04162119938207648,0.0,0.0,0.0,5706.156322400309,387.2109015401111,406.1889693058338,281296.28770748223,19088.328992235358,20023.890464570286
7,2.8,061201,0.0,0.0,0.0,-0.005076429869915788,0.00437370814214095,0.00437370814214095,0.0,0.0,0.0,10463.903572079627,175.5989434119292,175.5989434119292,274248.63552746805,4602.275842763251,4602.275842763309
8,2.2,070714B,2.173824558255789,0.1299944092999512,0.2259857872185429,-0.6032906909441157,0.024358360886715946,0.022767743084653902,-1.4856732643754857,0.033063288860406326,0.023072323737802103,139.03287136137413,38.01075984168233,30.06616365660105,95690.11771366643,26161.10886599285,20693.198028116167
9,2.4,070714B,1.4417261287904695,0.18129343765441752,0.1656734929952981,-0.42571086537765657,0.03297182454706615,0.028442084896037945,0.0,0.0,0.0,882.8037050288161,241.3532806351874,190.9082392685458,111253.81997555032,30416.132466751704,24058.882809898
10,2.6,070714B,0.8026993338879833,0.3000820427490253,0.2617040249176976,-0.21751768173490654,0.06426832355305984,0.10101431588431677,0.0,0.0,0.0,2562.7862166159657,664.8988135093591,536.2793498545652,126337.62697526754,32777.50509691893,26436.953662849235
11,2.8,070714B,0.5650926466289321,0.1216224942200016,0.2057628819549706,-0.048156681342001545,0.08161980820537856,0.04650047174928742,0.0,0.0,0.0,4215.152179344455,421.6014025415334,509.1003535359541,110474.99871944085,11049.75868584984,13343.020254537594
12,2.2,070724A,0.7642256525483968,0.10898716294804345,0.13060868508575474,-0.08529733416079757,0.05913982960100614,0.0789342349755983,0.0,0.0,0.0,622.3106962981792,115.60489108033084,96.36057922128566,428308.6668653116,79565.68491633475,66320.68429828627
13,2.2,090510,2.6570802853521,0.05763458948942901,0.0761657523785697,-0.7622994102507981,0.02002686051571423,0.018959305810177574,-1.5024400806700275,0.0,0.0,156.08804680990184,14.402926719672053,14.277270105229633,107428.43348256778,9912.891388429038,9826.40755111954
14,2.4,090510,1.965592173224032,0.07726710578678153,0.07588903346338816,-0.6161294418502077,0.015245603039327205,0.019788574869616826,0.0,0.0,0.0,991.0973188227957,91.4528841049131,90.65501433710222,124901.33656945039,11525.192572816391,11424.642406333922
15,2.6,090510,1.349186645766372,0.11436275442004717,0.11114737982740852,-0.4505007048971907,0.018977053146638168,0.022871567665775805,0.0,0.0,0.0,2922.0859902694006,269.6336538677265,267.2812672490754,144050.0215877472,13292.125484934251,13176.159923233528
16,2.8,090510,0.6972689261372943,0.19822120765289852,0.17547473441757444,-0.21580043188260176,0.053017564547065826,0.07025807410037313,0.0,0.0,0.0,6277.034423322026,558.1252734795189,563.2125873663008,164514.90726160072,14627.915256555862,14761.248757035733
17,2.2,111020A,0.6661792700999017,0.08580449819152347,0.15709045201224714,-0.009966150730185204,0.062263816230659276,0.010773471183129223,0.0,0.0,0.0,2617.946886211713,281.0491360021201,332.6799168293046,1801815.95371497,193433.5718167359,228968.73301009042
18,2.2,111117A,1.087337323782621,0.5557397228169968,0.39290384236694864,-0.4761480866210812,0.09270732377981472,0.17712600691877378,0.0,0.0,0.0,418.3244236527801,401.28379050287634,177.50772999941458,287914.0231362373,276185.71618218394,122170.64505975982
19,2.4,111117A,0.4549954419329033,0.0223777677558597,0.022377767755859646,-0.18260701619461545,0.0029217742354813725,0.0029217742354813447,0.0,0.0,0.0,1010.5103984905948,2.2992756604955957,2.299275660495482,127347.83657645,289.76226419280283,289.7622641927883
